role_id,member_id,related_member_id,relationship_type,evidence_status
cityrole-0001,m02,m01,parent,experimental_family_template
cityrole-0002,m02,m01,parent,experimental_family_template
cityrole-0002,m02,m04,partner,experimental_family_template
cityrole-0002,m03,m02,parent,experimental_family_template
cityrole-0002,m04,m02,partner,experimental_family_template
cityrole-0003,m01,m02,partner,experimental_family_template
cityrole-0003,m02,m01,partner,experimental_family_template
cityrole-0005,m01,m03,partner,experimental_family_template
cityrole-0005,m02,m01,parent,experimental_family_template
cityrole-0005,m03,m01,partner,experimental_family_template
cityrole-0005,m04,m01,parent,experimental_family_template
cityrole-0006,m02,m01,parent,experimental_family_template
cityrole-0006,m03,m01,parent,experimental_family_template
cityrole-0007,m01,m02,partner,experimental_family_template
cityrole-0007,m02,m01,partner,experimental_family_template
cityrole-0008,m01,m02,partner,experimental_family_template
cityrole-0008,m02,m01,partner,experimental_family_template
cityrole-0009,m02,m01,parent,experimental_family_template
cityrole-0011,m01,m02,partner,experimental_family_template
cityrole-0011,m02,m01,partner,experimental_family_template
cityrole-0013,m02,m01,parent,experimental_family_template
cityrole-0014,m02,m01,parent,experimental_family_template
cityrole-0015,m02,m01,parent,experimental_family_template
cityrole-0015,m03,m02,parent,experimental_family_template
cityrole-0015,m04,m02,parent,experimental_family_template
cityrole-0016,m01,m02,partner,experimental_family_template
cityrole-0016,m02,m01,partner,experimental_family_template
cityrole-0020,m02,m01,parent,experimental_family_template
cityrole-0020,m03,m02,parent,experimental_family_template
cityrole-0021,m01,m02,partner,experimental_family_template
cityrole-0021,m02,m01,partner,experimental_family_template
cityrole-0022,m01,m02,partner,experimental_family_template
cityrole-0022,m02,m01,partner,experimental_family_template
cityrole-0023,m01,m02,partner,experimental_family_template
cityrole-0023,m02,m01,partner,experimental_family_template
cityrole-0024,m02,m01,parent,experimental_family_template
cityrole-0024,m02,m04,partner,experimental_family_template
cityrole-0024,m03,m01,parent,experimental_family_template
cityrole-0024,m04,m02,partner,experimental_family_template
cityrole-0024,m05,m01,parent,experimental_family_template
cityrole-0025,m01,m02,partner,experimental_family_template
cityrole-0025,m02,m01,partner,experimental_family_template
cityrole-0026,m02,m01,parent,experimental_family_template
cityrole-0027,m01,m03,partner,experimental_family_template
cityrole-0027,m02,m01,parent,experimental_family_template
cityrole-0027,m03,m01,partner,experimental_family_template
cityrole-0027,m04,m01,parent,experimental_family_template
cityrole-0028,m02,m01,parent,experimental_family_template
cityrole-0028,m02,m04,partner,experimental_family_template
cityrole-0028,m03,m01,parent,experimental_family_template
cityrole-0028,m04,m02,partner,experimental_family_template
cityrole-0029,m02,m01,parent,experimental_family_template
cityrole-0029,m03,m01,parent,experimental_family_template
cityrole-0030,m02,m01,parent,experimental_family_template
cityrole-0030,m03,m01,parent,experimental_family_template
cityrole-0032,m01,m02,partner,experimental_family_template
cityrole-0032,m02,m01,partner,experimental_family_template
cityrole-0034,m01,m02,partner,experimental_family_template
cityrole-0034,m02,m01,partner,experimental_family_template
cityrole-0036,m02,m01,parent,experimental_family_template
cityrole-0036,m03,m01,parent,experimental_family_template
cityrole-0037,m02,m01,parent,experimental_family_template
cityrole-0038,m02,m01,parent,experimental_family_template
cityrole-0038,m03,m01,parent,experimental_family_template
cityrole-0039,m01,m02,partner,experimental_family_template
cityrole-0039,m02,m01,partner,experimental_family_template
cityrole-0041,m02,m01,parent,experimental_family_template
cityrole-0041,m02,m05,partner,experimental_family_template
cityrole-0041,m03,m02,parent,experimental_family_template
cityrole-0041,m04,m02,parent,experimental_family_template
cityrole-0041,m05,m02,partner,experimental_family_template
cityrole-0042,m02,m01,parent,experimental_family_template
cityrole-0042,m02,m04,partner,experimental_family_template
cityrole-0042,m03,m01,parent,experimental_family_template
cityrole-0042,m04,m02,partner,experimental_family_template
cityrole-0043,m01,m02,partner,experimental_family_template
cityrole-0043,m02,m01,partner,experimental_family_template
cityrole-0047,m02,m01,parent,experimental_family_template
cityrole-0047,m03,m01,parent,experimental_family_template
cityrole-0048,m02,m01,parent,experimental_family_template
cityrole-0048,m03,m01,parent,experimental_family_template
cityrole-0049,m01,m02,partner,experimental_family_template
cityrole-0049,m02,m01,partner,experimental_family_template
cityrole-0051,m01,m03,partner,experimental_family_template
cityrole-0051,m02,m01,parent,experimental_family_template
cityrole-0051,m03,m01,partner,experimental_family_template
cityrole-0051,m04,m01,parent,experimental_family_template
cityrole-0054,m01,m02,partner,experimental_family_template
cityrole-0054,m02,m01,partner,experimental_family_template
cityrole-0056,m02,m01,parent,experimental_family_template
cityrole-0056,m03,m01,parent,experimental_family_template
cityrole-0057,m01,m02,partner,experimental_family_template
cityrole-0057,m02,m01,partner,experimental_family_template
cityrole-0058,m01,m02,partner,experimental_family_template
