role_id,member_id,day_type,window_order,start_local_time,end_local_time,time_status,basis
cityrole-0001,m01,weekday,1,00:00,07:30,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0001,m01,weekday,2,18:30,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0001,m01,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0001,m01,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0001,m02,weekday,1,00:00,07:30,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0001,m02,weekday,2,18:30,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0001,m02,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0001,m02,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m01,weekday,1,00:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m01,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m01,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m02,weekday,1,00:00,09:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m02,weekday,2,12:00,15:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m02,weekday,3,19:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m02,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m02,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m03,weekday,1,00:00,07:30,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m03,weekday,2,18:30,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m03,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m03,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0002,m04,weekday,0,,,UNKNOWN,irregular_routine_not_fixed_clock
cityrole-0002,m04,weekend,0,,,UNKNOWN,irregular_routine_not_fixed_clock
cityrole-0003,m01,weekday,0,,,UNKNOWN,irregular_routine_not_fixed_clock
cityrole-0003,m01,weekend,0,,,UNKNOWN,irregular_routine_not_fixed_clock
cityrole-0003,m02,weekday,1,00:00,09:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0003,m02,weekday,2,12:00,15:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0003,m02,weekday,3,19:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0003,m02,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0003,m02,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0004,m01,weekday,1,00:00,09:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0004,m01,weekday,2,12:00,15:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0004,m01,weekday,3,19:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0004,m01,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0004,m01,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m01,weekday,1,00:00,09:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m01,weekday,2,12:00,15:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m01,weekday,3,19:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m01,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m01,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m02,weekday,1,00:00,07:30,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m02,weekday,2,18:30,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m02,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m02,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m03,weekday,1,00:00,09:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m03,weekday,2,12:00,15:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m03,weekday,3,19:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m03,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m03,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m04,weekday,1,00:00,07:30,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m04,weekday,2,18:30,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m04,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0005,m04,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0006,m01,weekday,1,00:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0006,m01,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0006,m01,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0006,m02,weekday,0,,,UNKNOWN,irregular_routine_not_fixed_clock
cityrole-0006,m02,weekend,0,,,UNKNOWN,irregular_routine_not_fixed_clock
cityrole-0006,m03,weekday,1,00:00,09:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0006,m03,weekday,2,12:00,15:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0006,m03,weekday,3,19:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0006,m03,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0006,m03,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0007,m01,weekday,1,00:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0007,m01,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0007,m01,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0007,m02,weekday,1,00:00,09:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0007,m02,weekday,2,12:00,15:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0007,m02,weekday,3,19:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0007,m02,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0007,m02,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0008,m01,weekday,0,,,UNKNOWN,irregular_routine_not_fixed_clock
cityrole-0008,m01,weekend,0,,,UNKNOWN,irregular_routine_not_fixed_clock
cityrole-0008,m02,weekday,1,00:00,09:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0008,m02,weekday,2,12:00,15:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0008,m02,weekday,3,19:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0008,m02,weekend,1,00:00,10:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0008,m02,weekend,2,13:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
cityrole-0009,m01,weekday,1,00:00,24:00,SYNTHETIC_TYPICAL,B_member_routine_template
