role_id,member_id,member_order,relationship_to_reference_adult,partner_member_id,age_years_design,source_age_band,age_band,life_role,routine,comfort,task_flexibility,participation,needs_priority,cost_importance_1_5,grid_importance_1_5,control,trait_basis,weekday_window_status,weekend_window_status
cityrole-0001,m01,1,reference_adult,,37,35_59,adult,outside_work,out_regular,temp_tolerant,flexible,usually_decides,no,3,1,auto,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0001,m02,2,child,,17,0_17,under18,student,out_regular,normal_comfort,flexible,usually_joint,yes,3,2,manual,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0002,m01,1,parent_of_reference_adult,,59,50_59,adult,home_work,home_regular,temp_sensitive,rigid,usually_decides,no,5,4,confirm,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0002,m02,2,reference_adult,m04,40,30_49,adult,caregiver,mixed,temp_tolerant,flexible,usually_joint,no,4,5,auto,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0002,m03,3,child,,20,18_29,adult,outside_work,out_regular,normal_comfort,flexible,usually_joint,no,1,1,manual,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0002,m04,4,spouse,m02,39,30_49,adult,shift,irregular,temp_sensitive,semi_rigid,usually_joint,no,3,2,confirm,age_compatible_role_and_counterbalanced_experimental_member_traits,UNKNOWN_IRREGULAR,UNKNOWN_IRREGULAR
cityrole-0003,m01,1,reference_adult,m02,34,20_59,adult,shift,irregular,normal_comfort,rigid,usually_decides,no,3,2,manual,age_compatible_role_and_counterbalanced_experimental_member_traits,UNKNOWN_IRREGULAR,UNKNOWN_IRREGULAR
cityrole-0003,m02,2,spouse,m01,31,20_59,adult,not_working,mixed,temp_sensitive,rigid,usually_joint,no,5,3,confirm,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0004,m01,1,reference_adult,,23,20_34,adult,caregiver,mixed,temp_tolerant,semi_rigid,usually_decides,no,5,5,auto,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0005,m01,1,reference_adult,m03,49,35_59,adult,not_working,mixed,temp_sensitive,semi_rigid,usually_decides,no,5,3,confirm,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0005,m02,2,child,,14,0_17,under18,student,out_regular,temp_tolerant,semi_rigid,usually_joint,yes,2,4,auto,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0005,m03,3,spouse,m01,48,0_59,adult,caregiver,mixed,normal_comfort,rigid,usually_joint,no,4,5,manual,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0005,m04,4,child,,10,0_59,under18,student,out_regular,temp_sensitive,rigid,usually_joint,yes,1,1,confirm,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0006,m01,1,reference_adult,,61,60_64,older,caregiver,home_regular,normal_comfort,flexible,usually_decides,no,4,1,auto,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0006,m02,2,child,,33,20_59,adult,shift,irregular,temp_sensitive,semi_rigid,usually_joint,no,3,2,confirm,age_compatible_role_and_counterbalanced_experimental_member_traits,UNKNOWN_IRREGULAR,UNKNOWN_IRREGULAR
cityrole-0006,m03,3,child,,32,20_59,adult,not_working,mixed,temp_tolerant,semi_rigid,usually_joint,no,5,3,auto,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0007,m01,1,reference_adult,m02,38,20_59,adult,home_work,home_regular,temp_tolerant,flexible,usually_decides,no,2,4,manual,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0007,m02,2,spouse,m01,38,20_59,adult,caregiver,mixed,normal_comfort,flexible,usually_joint,no,4,5,manual,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0008,m01,1,reference_adult,m02,36,20_59,adult,shift,irregular,temp_sensitive,rigid,usually_decides,no,4,2,manual,age_compatible_role_and_counterbalanced_experimental_member_traits,UNKNOWN_IRREGULAR,UNKNOWN_IRREGULAR
cityrole-0008,m02,2,spouse,m01,40,20_59,adult,not_working,mixed,temp_tolerant,flexible,usually_joint,no,5,3,auto,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0009,m01,1,reference_adult,,63,60_64,older,retired,home_regular,normal_comfort,rigid,usually_decides,no,2,5,auto,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0009,m02,2,child,,32,20_59,adult,outside_work,out_regular,temp_sensitive,rigid,usually_joint,no,1,1,confirm,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
cityrole-0010,m01,1,reference_adult,,28,20_34,adult,not_working,mixed,temp_tolerant,semi_rigid,usually_decides,no,3,3,manual,age_compatible_role_and_counterbalanced_experimental_member_traits,SYNTHETIC_TYPICAL,SYNTHETIC_TYPICAL
