case_id,role_id,day_index,simulated_calendar_day,city,province,plan_family_id,plan_family_zh,action_contrast_status,contrast_basis,difference_reason_zh,baseline_owned_device_kwh,candidate_owned_device_kwh,baseline_selected_ac_proxy_kwh,candidate_selected_ac_proxy_kwh,baseline_attributable_kwh,candidate_attributable_kwh,candidate_minus_baseline_attributable_kwh,baseline_all_owned_room_24h_mean_c,candidate_all_owned_room_24h_mean_c,simulated_outdoor_min_c,simulated_outdoor_max_c,weather_kind,metric_scope,temperature_scope,feedback_rows
cityrole-0001/day-01,cityrole-0001,1,07-14,南昌市,江西,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.16,34.16,26.60,33.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-02,cityrole-0001,2,07-15,南昌市,江西,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,2.542916,2.407021,3.042916,2.907021,-0.135895,33.66,33.68,26.10,33.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-03,cityrole-0001,3,07-16,南昌市,江西,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,2.384660,2.262354,2.884660,2.762354,-0.122306,33.26,33.31,26.00,34.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-04,cityrole-0001,4,07-17,南昌市,江西,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.74,33.79,27.60,36.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-05,cityrole-0001,5,07-18,南昌市,江西,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.41,34.44,27.70,36.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-06,cityrole-0001,6,07-19,南昌市,江西,device_time_shift,设备运行移时,meaningful,device_schedule,设备运行移时,0.500000,0.500000,0.000000,0.000000,0.500000,0.500000,0.000000,35.04,35.06,28.00,37.50,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-07,cityrole-0001,7,07-20,南昌市,江西,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,3.417358,3.264087,3.417358,3.264087,-0.153271,34.88,34.92,28.50,37.90,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-08,cityrole-0001,8,07-21,南昌市,江西,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.32,35.35,28.80,37.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-09,cityrole-0001,9,07-22,南昌市,江西,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,3.274957,3.137956,3.774957,3.637956,-0.137001,35.43,35.48,29.30,39.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0001/day-10,cityrole-0001,10,07-23,南昌市,江西,ac_plus_device_shift,空调设定点与设备移时,meaningful,temperature_setpoint,空调设定点与设备移时,0.500000,0.500000,2.777623,2.655413,3.277623,3.155413,-0.122210,35.22,35.29,26.70,36.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-01,cityrole-0002,1,07-14,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,首日共同背景，无方案差异,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.72,35.72,25.30,32.40,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-02,cityrole-0002,2,07-15,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.29,36.29,26.80,34.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-03,cityrole-0002,3,07-16,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.730000,2.609862,2.730000,2.609862,-0.120138,36.30,36.32,26.70,34.60,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-04,cityrole-0002,4,07-17,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.595996,2.490233,2.595996,2.490233,-0.105763,36.25,36.28,27.10,35.10,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-05,cityrole-0002,5,07-18,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.633127,2.531263,2.633127,2.531263,-0.101864,36.49,36.54,27.50,35.30,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-06,cityrole-0002,6,07-19,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.622575,2.521904,2.622575,2.521904,-0.100671,36.71,36.76,27.70,35.20,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-07,cityrole-0002,7,07-20,广州市,广东,ac_setpoint,空调设定点调整,meaningful,temperature_setpoint,空调设定点调整,0.000000,0.000000,2.574975,2.475440,2.574975,2.475440,-0.099535,36.74,36.80,27.30,34.70,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
cityrole-0002/day-08,cityrole-0002,8,07-21,广州市,广东,no_contrast,当日无方案动作差异,equivalent,,当日无合法方案改变,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.88,36.92,27.80,34.80,CSWD typical-year simulated scenario,owned devices plus selected AC COP3 proxy; not full household bill,all owned rooms × all 24 hours equally weighted; not comfort score,0
